task_id,family,agent,repeat,success,exact_correct,model_calls,tool_calls,python_execs,validation_failures,runtime_failures,recovered_from_failure,termination_failed,state_corrupted,context_bytes,serialized_data_bytes,wall_time_s,token_estimate,cost_estimate_usd,failure_category,long_horizon
detcomp_0,deterministic_compute,A,0,True,True,1,1,0,0,0,False,False,False,148,52,3.886222839355469e-05,56,0.000112,,False
detcomp_0,deterministic_compute,A,1,True,True,1,1,0,0,0,False,False,False,148,52,2.3365020751953125e-05,56,0.000112,,False
detcomp_0,deterministic_compute,A,2,True,True,2,2,0,0,1,False,False,False,176,52,2.0265579223632812e-05,63,0.000126,,False
detcomp_1,deterministic_compute,A,0,True,True,1,1,0,0,0,False,False,False,168,62,1.6450881958007812e-05,64,0.000128,,False
detcomp_1,deterministic_compute,A,1,True,True,2,2,0,0,1,False,False,False,196,62,1.6689300537109375e-05,72,0.000144,,False
detcomp_1,deterministic_compute,A,2,True,True,1,1,0,0,0,False,False,False,168,62,1.3113021850585938e-05,64,0.000128,,False
detcomp_2,deterministic_compute,A,0,True,True,1,1,0,0,0,False,False,False,130,43,1.3589859008789062e-05,48,9.6e-05,,False
detcomp_2,deterministic_compute,A,1,True,True,1,1,0,0,0,False,False,False,130,43,1.3589859008789062e-05,48,9.6e-05,,False
detcomp_2,deterministic_compute,A,2,True,True,1,1,0,0,0,False,False,False,130,43,1.2874603271484375e-05,48,9.6e-05,,False
detcomp_3,deterministic_compute,A,0,True,True,1,1,0,0,0,False,False,False,106,31,1.2636184692382812e-05,38,7.6e-05,,False
detcomp_3,deterministic_compute,A,1,True,True,1,1,0,0,0,False,False,False,106,31,1.239776611328125e-05,38,7.6e-05,,False
detcomp_3,deterministic_compute,A,2,True,True,2,2,0,0,1,False,False,False,134,31,1.430511474609375e-05,46,9.2e-05,,False
detcomp_4,deterministic_compute,A,0,True,True,1,1,0,0,0,False,False,False,124,40,1.3589859008789062e-05,45,8.999999999999999e-05,,False
detcomp_4,deterministic_compute,A,1,True,True,2,2,0,0,1,False,False,False,152,40,1.3589859008789062e-05,53,0.000106,,False
detcomp_4,deterministic_compute,A,2,True,True,1,1,0,0,0,False,False,False,124,40,1.2636184692382812e-05,45,8.999999999999999e-05,,False
detcomp_5,deterministic_compute,A,0,True,True,1,1,0,0,0,False,False,False,112,34,2.09808349609375e-05,40,8e-05,,False
detcomp_5,deterministic_compute,A,1,True,True,1,1,0,0,0,False,False,False,112,34,1.239776611328125e-05,40,8e-05,,False
detcomp_5,deterministic_compute,A,2,True,True,3,3,0,0,2,False,False,False,168,34,1.430511474609375e-05,56,0.000112,,False
semfilt_0,semantic_filter,A,0,True,True,1,1,0,0,0,False,False,False,170,95,2.288818359375e-05,74,0.000148,,False
semfilt_0,semantic_filter,A,1,True,True,2,2,0,0,1,False,False,False,198,95,1.9073486328125e-05,82,0.000164,,False
semfilt_0,semantic_filter,A,2,True,True,1,1,0,0,0,False,False,False,170,95,1.6927719116210938e-05,74,0.000148,,False
semfilt_1,semantic_filter,A,0,True,True,1,1,0,0,0,False,False,False,210,135,1.811981201171875e-05,96,0.000192,,False
semfilt_1,semantic_filter,A,1,True,True,1,1,0,0,0,False,False,False,210,135,1.71661376953125e-05,96,0.000192,,False
semfilt_1,semantic_filter,A,2,True,True,1,1,0,0,0,False,False,False,210,135,1.6927719116210938e-05,96,0.000192,,False
semfilt_2,semantic_filter,A,0,True,True,1,1,0,0,0,False,False,False,239,164,1.9550323486328125e-05,112,0.000224,,False
